PAGES 2k ID,ocean 2k ID,preceded by,superseded by,archive type,reference 1 doi,reference 2 doi,original data URL,lat (°),long (°),elevation (m),site name,Country/Ocean,min year,max year,resolution (yr),proxy,variable name,units,climate variable detail,seasonality,direction,QC comments,QC certification,link to data at WDC-paleo
Asi_088,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/15136,37.45,97.78,2810,CHIN054,China,711,2003,1,TRW,trsgi,NA,air@surface,summer,positive,,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN054.Shao.2013.txt
Asi_089,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/15137,37.52,97.05,100,CHIN055,China,1237,2002,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN055.Shao.2013.txt
Asi_090,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/15138,34.47,110.08,4900,CHIN056,China,1458,2005,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN056.Shao.2013.txt
Asi_091,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/15149,34.47,110.08,4900,CHIN057,China,1512,2005,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN057.Shao.2013.txt
Asi_092,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/15150,34.47,110.08,3950,CHIN058,China,1359,2005,1,TRW,trsgi,NA,air@surface,summer,positive,,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN058.Shao.2013.txt
Asi_093,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/15151,33.8,96.13,3400,CHIN059,China,1480,2002,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN059.Shao.2013.txt
Asi_094,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/15152,37.32,98.4,3980,CHIN060,China,943,2003,1,TRW,trsgi,NA,air@surface,summer,positive,,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN060.Shao.2013.txt
Asi_095,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/15153,37.03,98.63,2500,CHIN061,China,857,2003,1,TRW,trsgi,NA,air@surface,summer,positive,,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN061.Shao.2013.txt
Asi_096,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/15154,37.03,98.67,3700,CHIN062,China,845,2001,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN062.Shao.2013.txt
Asi_097,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/15155,36.75,98.22,3040,CHIN063,China,681,2001,1,TRW,trsgi,NA,air@surface,summer,positive,,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN063.Shao.2013.txt
