ID,Location Name,Latitude,Longitude,Date,Annual Rainfall (mm),Annual Avg Rainfall (mm)
156,MALMESBURY (TNK) SOUTH AFRI(SOUTH AFRICA),-33.45N,18.73E,1884-9-01,462.4,458.4584
157,CERES (MUN) SOUTH AFRI(SOUTH AFRICA),-33.37N,19.30E,1882-9-01,1191.0,1073.0076
158,CERES (MUN) SOUTH AFRI(SOUTH AFRICA),-33.37N,19.30E,1883-9-01,759.0,1073.0076
159,CERES (MUN) SOUTH AFRI(SOUTH AFRICA),-33.37N,19.30E,1884-9-01,1050.0,1073.0076
161,PRINCE-ALBERT (TNK) SOUTH AFRI(SOUTH AFRICA),-33.22N,22.03E,1883-9-01,238.0,179.226
162,PRINCE-ALBERT (TNK) SOUTH AFRI(SOUTH AFRICA),-33.22N,22.03E,1884-9-01,344.0,179.226
164,CALITZDORP POL SOUTH AFRI(SOUTH AFRICA),-33.53N,21.68E,1883-9-01,381.6,199.2764
167,KNYSNA (TNK) SOUTH AFRI(SOUTH AFRICA),-34.05N,23.05E,1883-9-01,751.7,746.6091
168,KNYSNA (TNK) SOUTH AFRI(SOUTH AFRICA),-34.05N,23.05E,1884-9-01,734.1,746.6091
169,WILLOWMORE (MUN) SOUTH AFRI(SOUTH AFRICA),-33.28N,23.50E,1882-9-01,169.0,270.9508
170,WILLOWMORE (MUN) SOUTH AFRI(SOUTH AFRICA),-33.28N,23.50E,1883-9-01,219.0,270.9508
171,WILLOWMORE (MUN) SOUTH AFRI(SOUTH AFRICA),-33.28N,23.50E,1884-9-01,162.8,270.9508
172,PORT ELIZABETH SOUTH AFRI(SOUTH AFRICA),-34.00N,25.60E,1882-9-01,643.5,593.8391
173,PORT ELIZABETH SOUTH AFRI(SOUTH AFRICA),-34.00N,25.60E,1883-9-01,418.6,593.8391
174,PORT ELIZABETH SOUTH AFRI(SOUTH AFRICA),-34.00N,25.60E,1884-9-01,513.8,593.8391
175,UITENHAGE SOUTH AFRI(SOUTH AFRICA),-33.80N,25.40E,1882-9-01,375.0,448.0333
176,UITENHAGE SOUTH AFRI(SOUTH AFRICA),-33.80N,25.40E,1883-9-01,270.0,448.0333
177,UITENHAGE SOUTH AFRI(SOUTH AFRICA),-33.80N,25.40E,1884-9-01,268.0,448.0333
178,BREDASDORP (POL) SOUTH AFRI(SOUTH AFRICA),-34.53N,20.03E,1882-9-01,485.0,462.0646
179,BREDASDORP (POL) SOUTH AFRI(SOUTH AFRICA),-34.53N,20.03E,1883-9-01,499.8,462.0646
180,BREDASDORP (POL) SOUTH AFRI(SOUTH AFRICA),-34.53N,20.03E,1884-9-01,544.6,462.0646
181,RIVERSDALE SOUTH AFRI(SOUTH AFRICA),-34.08N,21.25E,1882-9-01,314.0,432.9395
182,RIVERSDALE SOUTH AFRI(SOUTH AFRICA),-34.08N,21.25E,1883-9-01,394.0,432.9395
183,RIVERSDALE SOUTH AFRI(SOUTH AFRICA),-34.08N,21.25E,1884-9-01,386.0,432.9395
185,LADISMITH (TNK) SOUTH AFRI(SOUTH AFRICA),-33.48N,21.27E,1883-9-01,403.9,316.8967
188,CAPE ST FRANCIS (VRTSOUTH AFRI(SOUTH AFRICA),-34.20N,24.83E,1883-9-01,559.3,662.2671
190,HUMANSDORP (POL) SOUTH AFRI(SOUTH AFRICA),-34.03N,24.77E,1882-9-01,640.5,699.3348
191,HUMANSDORP (POL) SOUTH AFRI(SOUTH AFRICA),-34.03N,24.77E,1883-9-01,536.6,699.3348
193,HONG KONG/ROYAL OBS.HONG KONG (CHINA),22.30N,114.20E,1882-9-01,2343.7,2206.664
194,HONG KONG/ROYAL OBS.HONG KONG (CHINA),22.30N,114.20E,1883-9-01,2391.3,2206.664
195,HONG KONG/ROYAL OBS.HONG KONG (CHINA),22.30N,114.20E,1884-9-01,2934.4,2206.664
196,YICHANG CHINA (CHINA),30.70N,111.30E,1882-9-01,1465.0,1146.1416
197,YICHANG CHINA (CHINA),30.70N,111.30E,1883-9-01,803.0,1146.1416
198,YICHANG CHINA (CHINA),30.70N,111.30E,1884-9-01,948.0,1146.1416
200,WUHU CHINA (CHINA),31.33N,118.38E,1883-9-01,1120.8,1179.8806
201,WUHU CHINA (CHINA),31.33N,118.38E,1884-9-01,1967.8,1179.8806
202,SHANGHAI CHINA (CHINA),31.40N,121.47E,1882-9-01,1108.7,1151.855
203,SHANGHAI CHINA (CHINA),31.40N,121.47E,1883-9-01,957.5,1151.855
204,SHANGHAI CHINA (CHINA),31.40N,121.47E,1884-9-01,1315.3,1151.855
205,FUZHOU CHINA (CHINA),26.10N,119.30E,1882-9-01,1049.0,1380.0898
206,FUZHOU CHINA (CHINA),26.10N,119.30E,1883-9-01,1120.0,1380.0898
208,SHANTOU CHINA (CHINA),23.40N,116.70E,1882-9-01,792.8,1543.8075
209,SHANTOU CHINA (CHINA),23.40N,116.70E,1883-9-01,1247.8,1543.8075
210,SHANTOU CHINA (CHINA),23.40N,116.70E,1884-9-01,1794.5,1543.8075
211,LEH INDIA (INDIA),34.20N,77.70E,1882-9-01,46.0,88.652
212,LEH INDIA (INDIA),34.20N,77.70E,1883-9-01,61.9,88.652
213,LEH INDIA (INDIA),34.20N,77.70E,1884-9-01,39.3,88.652
